lambda	n	k
99.190	-0.48882	0.048160
103.30	-0.62461	0.051890
107.80	-0.77859	0.058455
112.70	-0.95522	0.069634
118.10	-1.1648	0.085536
124.00	-1.3906	0.10006
130.50	-1.6616	0.12771
137.80	-1.9569	0.15596
141.70	-2.1281	0.17286
145.90	-2.3369	0.19278
150.30	-2.5236	0.21338
155.00	-2.7505	0.23771
160.00	-3.0217	0.26622
165.30	-3.2694	0.29684
171.00	-3.6023	0.33440
177.10	-3.9115	0.37462
183.70	-4.2745	0.42228
190.70	-4.6968	0.47740
198.40	-5.1842	0.54264
206.60	-5.6952	0.62140
215.60	-6.2802	0.70782
225.40	-6.9456	0.81840
236.20	-7.7545	0.95976
248.00	-8.6075	1.1172
261.00	-9.6284	1.3000
275.50	-10.836	1.5378
291.70	-12.252	1.8322
300.00	-12.956	1.9927
310.00	-13.901	2.1991
317.90	-14.649	2.3808
326.30	-15.496	2.5754
335.10	-16.365	2.7933
344.40	-17.256	3.0358
350.00	-17.837	3.1800
354.20	-18.342	3.3110
364.70	-19.459	3.6060
375.70	-20.607	3.9398
387.50	-21.972	4.3332
400.00	-23.380	4.7628
413.30	-24.927	5.2509
427.50	-26.729	5.8032
442.80	-28.587	6.4345
450.00	-29.539	6.7609
459.20	-30.722	7.1870
476.90	-33.157	8.0620
495.90	-35.791	9.1053
500.00	-36.375	9.3510
506.10	-37.200	9.7047
516.60	-38.756	10.375
527.60	-40.465	11.132
539.10	-42.071	11.947
550.00	-43.838	12.818
551.00	-43.963	12.904
563.60	-45.882	13.974
576.70	-47.834	15.120
590.40	-49.800	16.445
600.00	-51.268	17.424
604.80	-51.948	17.836
619.90	-54.260	19.448
635.80	-56.590	21.267
650.00	-58.523	22.903
652.60	-58.932	23.304
670.20	-61.600	25.632
688.80	-64.377	28.571
700.00	-65.707	30.415
708.50	-66.744	32.050
729.30	-68.865	36.680
750.00	-68.544	41.376
751.40	-68.496	41.548
774.90	-67.043	45.236
799.90	-63.562	47.320
