lambda	n	k
200	0.99571	2.9212
210	1.0811	2.9793
220	1.2252	3.1742
230	1.5787	3.408
240	1.5833	3.3717
250	1.58	3.632
260	1.6834	4.0621
270	2.0176	4.7138
280	2.9198	5.2859
290	4.3658	5.268
300	5.0036	4.1619
310	5.01	3.587
320	5.0234	3.2997
330	5.0983	3.1238
340	5.222	3.0117
350	5.4358	2.9885
360	6.0519	2.9898
370	6.811	2.0331
380	6.4693	0.96652
390	5.9438	0.55876
400	5.57	0.387
410	5.296	0.29507
420	5.089	0.23771
430	4.9235	0.1955
440	4.7873	0.16932
450	4.6738	0.14512
460	4.5759	0.13024
470	4.4918	0.12
480	4.4202	0.093351
490	4.3553	0.078026
500	4.2975	0.072829
510	4.246	0.066571
520	4.2	0.056837
530	4.1586	0.043044
540	4.1197	0.047234
550	4.0844	0.040571
560	4.0526	0.036235
570	4.0226	0.033019
580	3.9954	0.027333
590	3.97	0.03
600	3.9473	0.025655
610	3.9262	0.024633
620	3.9058	0.022
630	3.8865	0.020219
640	3.8684	0.017866
650	3.8512	0.016382
660	3.8362	0.01593
670	3.8208	0.014528
680	3.8066	0.013162
690	3.7946	0.013
700	3.7831	0.012563
710	3.7712	0.011321
720	3.7617	0.011
730	3.7514	0.01
740	3.743	0.0097753
750	3.7333	0.009
760	3.725	0.0085699
770	3.7176	0.008
780	3.7093	0.0074796
790	3.7008	0.007
800	3.6925	0.0064951
810	3.6848	0.006
820	3.6778	0.007578
830	3.6714	0.0098841
840	3.6667	0.0095433
850	3.6621	0.0092025
860	3.6574	0.0088616
870	3.6527	0.0085208
880	3.6481	0.00818
890	3.6434	0.0078391
900	3.6388	0.0074983
